FIPS_city,St,City,County,Pop_2005,Latitude,Longitude
1224125,FL,Fort Myers,Lee,58428,26.63065,-81.850571
1224300,FL,Fort Pierce,St. Lucie,38552,27.44125,-80.322034
1225175,FL,Gainesville,Alachua,108184,29.67415,-82.336277
1230000,FL,Hialeah,Miami-Dade,220485,25.86175,-80.296772
1232000,FL,Hollywood,Broward,145629,26.029817,-80.164762
1232275,FL,Homestead,Miami-Dade,44494,25.461893,-80.454208
1235875,FL,Jupiter,Palm Beach,47909,26.9241,-80.104591
1236550,FL,Key West,Monroe,23935,24.562841,-81.77521
1236950,FL,Kissimmee,Osceola,59364,28.303533,-81.410505
1238250,FL,Lakeland,Polk,88713,28.041167,-81.960006
1239075,FL,Lake Worth,Palm Beach,36342,26.61935,-80.058979
1239425,FL,Largo,Pinellas,74473,27.908589,-82.781
1239525,FL,Lauderdale Lakes,Broward,31826,26.16665,-80.20209
1239550,FL,Lauderhill,Broward,59621,26.1658,-80.232623
1243125,FL,Margate,Broward,56002,26.2454,-80.211224
1243975,FL,Melbourne,Brevard,76646,28.114987,-80.640115
1245000,FL,Miami,Miami-Dade,386417,25.775667,-80.210845
1245025,FL,Miami Beach,Miami-Dade,87925,25.8147,-80.135932
1245975,FL,Miramar,Broward,106623,25.976929,-80.333446
1249425,FL,North Lauderdale,Broward,42262,26.21315,-80.223771
1249450,FL,North Miami,Miami-Dade,57654,25.9003,-80.169299
1249475,FL,North Miami Beach,Miami-Dade,39442,25.928683,-80.166874
1250575,FL,Oakland Park,Broward,31713,26.17455,-80.153389
1250750,FL,Ocala,Marion,49745,29.18745,-82.130799
1253000,FL,Orlando,Orange,213223,28.504748,-81.374248
1253150,FL,Ormond Beach,Volusia,38613,29.29415,-81.094599
1253575,FL,Oviedo,Seminole,29848,28.65745,-81.181413
1254000,FL,Palm Bay,Brevard,92833,27.985661,-80.660192
1254075,FL,Palm Beach Gardens,Palm Beach,48989,26.83745,-80.120377
1254200,FL,Palm Coast,Flagler,60952,29.571147,-81.214104
1254700,FL,Panama City,Bay,37188,30.1738,-85.673839
1255775,FL,Pembroke Pines,Broward,150380,26.009633,-80.340657
1255925,FL,Pensacola,Escambia,54055,30.444741,-87.189537
1256975,FL,Pinellas Park,Pinellas,47352,27.8572,-82.706024
1257425,FL,Plantation,Broward,85989,26.1255,-80.26161
1257550,FL,Plant City,Hillsborough,31450,28.005792,-82.128473
1258050,FL,Pompano Beach,Broward,104179,26.236867,-80.132862
1258575,FL,Port Orange,Volusia,53746,29.109549,-81.005993
1260975,FL,Riviera Beach,Palm Beach,33772,26.78295,-80.069362
1263000,FL,St. Petersburg,Pinellas,249079,27.758,-82.642121
1263650,FL,Sanford,Seminole,47257,28.78925,-81.275698
1264175,FL,Sarasota,Sarasota,53711,27.3361,-82.546599
1269700,FL,Sunrise,Broward,90589,26.1517,-80.297918
1270600,FL,Tallahassee,Leon,158500,30.457,-84.281399
1270675,FL,Tamarac,Broward,59923,26.20475,-80.257715
1271000,FL,Tampa,Hillsborough,325989,27.959,-82.48212
1271900,FL,Titusville,Brevard,43767,28.588801,-80.820192
1275812,FL,Wellington,Palm Beach,53583,26.658422,-80.254826
1276600,FL,West Palm Beach,Palm Beach,97498,26.7477,-80.126226
1278275,FL,Winter Haven,Polk,29501,28.042261,-81.72182
1278300,FL,Winter Park,Orange,28179,28.595852,-81.343737
1278325,FL,Winter Springs,Seminole,32583,28.68145,-81.274719
1301052,GA,Albany,Dougherty,75394,31.5778,-84.175624
1301696,GA,Alpharetta,Fulton,40128,34.068883,-84.271995
1304000,GA,Atlanta,"DeKalb, Fulton",470688,33.7629,-84.422592
1321380,GA,Dalton,Whitfield,32140,34.769008,-84.975906
1325720,GA,East Point,Fulton,40680,33.670733,-84.469288
1331908,GA,Gainesville,Hall,32444,34.294073,-83.834977
1338964,GA,Hinesville,Liberty,28615,31.832157,-81.598926
1344340,GA,LaGrange,Troup,27362,33.04143,-85.034615
1349000,GA,Macon,"Bibb, Jones",94316,32.83675,-83.656839
1349756,GA,Marietta,Cobb,61261,33.95095,-84.541149
1359724,GA,Peachtree City,Fayette,34524,33.392612,-84.568876
1366668,GA,Rome,Floyd,35816,34.262667,-85.186672
1367284,GA,Roswell,Fulton,85920,34.03742,-84.35601
1369000,GA,Savannah,Chatham,128453,32.024357,-81.131648
1371492,GA,Smyrna,Cobb,47643,33.867481,-84.516894
1378800,GA,Valdosta,Lowndes,45205,30.849383,-83.278356
1380508,GA,Warner Robins,"Houston, Peach",57907,32.612695,-83.631339
1517000,HI,Honolulu,Honolulu,377379,21.31725,-157.804233
1608830,ID,Boise City,Ada,193161,43.606651,-116.2261
1612250,ID,Caldwell,Canyon,34433,43.65834,-116.674864
1616750,ID,Coeur d'Alene,Kootenai,40059,47.697788,-116.784816
1639700,ID,Idaho Falls,Bonneville,52338,43.492938,-112.034953
1646540,ID,Lewiston,Nez Perce,31081,46.392909,-116.992215
1652120,ID,Meridian,Ada,52240,43.611129,-116.399676
1656260,ID,Nampa,Canyon,71713,43.579968,-116.563964
1664090,ID,Pocatello,"Bannock, Power",53372,42.876211,-112.468515
1682810,ID,Twin Falls,Twin Falls,38630,42.561509,-114.462844
