St,City,FIPS_city,Time,OWS_protest,15,30,45,60,100
AL,Birmingham,107000,46,1,0,0,0,0,1
AL,Birmingham,107000,47,1,0,0,0,0,1
AL,Birmingham,107000,48,1,0,0,0,0,1
AL,Birmingham,107000,49,1,0,0,0,0,1
AL,Birmingham,107000,50,1,0,0,0,0,1
AL,Birmingham,107000,51,1,0,0,0,0,1
AL,Birmingham,107000,52,1,0,0,0,0,1
AL,Birmingham,107000,53,1,0,0,0,0,1
AL,Birmingham,107000,54,1,0,0,0,0,1
AL,Birmingham,107000,55,1,0,0,0,0,1
AL,Birmingham,107000,56,1,0,0,0,0,1
AL,Birmingham,107000,57,1,0,0,0,0,1
AL,Birmingham,107000,58,1,0,0,0,0,1
AL,Birmingham,107000,59,1,0,0,0,0,1
AL,Birmingham,107000,60,1,0,0,0,0,1
AL,Birmingham,107000,61,1,0,0,0,0,1
AL,Birmingham,107000,62,1,0,0,0,0,1
AL,Birmingham,107000,63,1,0,0,0,0,1
AL,Birmingham,107000,64,1,0,0,0,0,1
AL,Birmingham,107000,65,1,0,0,0,0,1
AL,Birmingham,107000,66,1,0,0,0,0,1
AL,Birmingham,107000,67,1,0,0,0,0,1
AL,Birmingham,107000,68,1,0,0,0,0,1
AL,Birmingham,107000,69,1,0,0,0,0,1
AL,Birmingham,107000,70,1,0,0,0,0,1
AL,Birmingham,107000,71,1,0,0,0,0,1
AL,Birmingham,107000,72,1,0,0,0,0,1
AL,Birmingham,107000,73,1,0,0,0,0,1
AL,Birmingham,107000,74,1,0,0,0,0,1
AL,Birmingham,107000,75,1,0,0,0,0,1
AL,Birmingham,107000,76,1,0,0,0,0,1
AL,Birmingham,107000,77,1,0,0,0,0,1
DE,Wilmington,1077580,1,0,0,0,0,0,0
DE,Wilmington,1077580,2,0,0,0,0,0,0
DE,Wilmington,1077580,3,0,0,0,0,0,0
DE,Wilmington,1077580,4,0,0,0,0,0,0
DE,Wilmington,1077580,5,0,0,0,0,0,0
DE,Wilmington,1077580,6,0,0,0,0,0,0
DE,Wilmington,1077580,7,0,0,0,0,0,0
DE,Wilmington,1077580,8,0,0,0,0,0,0
DE,Wilmington,1077580,9,0,0,0,0,0,0
DE,Wilmington,1077580,10,0,0,0,0,0,0
DE,Wilmington,1077580,11,0,0,0,0,0,0
DE,Wilmington,1077580,12,0,0,0,0,0,0
DE,Wilmington,1077580,13,0,0,0,0,0,0
DE,Wilmington,1077580,14,0,0,0,0,0,0
